,L-f,L-m,L-h,R-f,R-m,R-h,Index
0,502,509,509,0,489,506,"(1, 4)"
1,405,10000,10000,0,386,10000,"(1, 5)"
2,586,594,600,0,583,597,"(1, 6)"
3,480,10000,513,0,478,508,"(1, 7)"
4,505,521,518,0,508,515,"(1, 8)"
5,659,672,666,0,656,666,"(1, 9)"
6,836,852,861,0,831,855,"(1, 10)"
7,446,448,10000,0,442,10000,"(1, 11)"
8,399,410,10000,0,400,10000,"(1, 12)"
9,469,10000,10000,0,471,485,"(1, 13)"
10,480,503,504,0,491,503,"(1, 14)"
11,455,463,10000,0,455,10000,"(1, 15)"
12,580,593,585,0,574,590,"(1, 16)"
13,551,10000,10000,0,551,10000,"(1, 17)"
14,411,428,428,0,412,426,"(1, 18)"
15,443,10000,461,0,446,10000,"(1, 19)"
16,408,427,426,0,413,426,"(1, 20)"
17,10000,10000,10000,0,10000,10000,"(2, 4)"
18,768,767,10000,0,760,790,"(2, 5)"
19,628,642,10000,0,628,641,"(2, 6)"
20,10000,10000,10000,0,10000,10000,"(2, 7)"
21,702,718,10000,0,709,723,"(2, 8)"
22,10000,10000,10000,0,10000,10000,"(2, 10)"
23,493,521,10000,0,507,515,"(2, 11)"
24,762,793,10000,0,767,781,"(2, 12)"
25,645,655,10000,0,620,651,"(2, 13)"
26,702,732,10000,0,730,734,"(2, 14)"
27,746,841,860,0,789,803,"(2, 15)"
28,10000,10000,10000,0,10000,10000,"(2, 16)"
29,487,520,10000,0,505,516,"(2, 17)"
30,710,736,10000,0,720,769,"(2, 18)"
31,10000,10000,10000,0,10000,10000,"(2, 19)"
32,680,730,10000,0,716,731,"(2, 20)"
33,478,494,480,0,467,481,"(3, 4)"
34,715,713,713,0,703,714,"(3, 5)"
35,470,10000,476,0,469,479,"(3, 6)"
36,655,664,10000,0,656,739,"(3, 7)"
37,534,10000,535,0,527,534,"(3, 8)"
38,10000,10000,10000,0,10000,10000,"(3, 9)"
39,451,454,10000,0,449,464,"(3, 10)"
40,10000,10000,10000,0,10000,10000,"(3, 11)"
41,396,399,402,0,399,406,"(3, 12)"
42,479,478,483,0,474,477,"(3, 13)"
43,507,10000,10000,0,507,10000,"(3, 14)"
44,551,649,10000,0,549,10000,"(3, 16)"
45,427,431,10000,0,422,435,"(3, 17)"
46,501,511,510,0,498,504,"(3, 18)"
47,396,396,402,0,390,405,"(3, 19)"
48,505,507,516,0,500,509,"(3, 20)"
49,447,450,10000,0,445,10000,"(4, 4)"
50,415,424,427,0,417,10000,"(4, 5)"
51,408,417,419,0,407,423,"(4, 6)"
52,468,466,10000,0,470,481,"(4, 7)"
53,397,407,409,0,399,408,"(4, 8)"
54,497,532,10000,0,509,538,"(4, 9)"
55,393,406,406,0,391,10000,"(4, 10)"
56,392,395,405,0,395,406,"(4, 11)"
57,402,409,409,0,404,412,"(4, 12)"
58,392,403,418,0,395,422,"(4, 13)"
59,423,429,10000,0,421,436,"(4, 14)"
60,535,543,550,0,535,548,"(4, 15)"
61,649,679,686,0,659,676,"(4, 16)"
62,374,389,395,0,379,390,"(4, 17)"
63,418,420,10000,0,416,10000,"(4, 18)"
64,427,436,437,0,429,438,"(4, 19)"
65,553,563,572,0,553,569,"(4, 20)"
66,416,408,10000,0,409,421,"(5, 5)"
67,456,459,10000,0,452,470,"(5, 7)"
68,432,434,442,0,425,443,"(5, 9)"
69,453,451,10000,0,445,10000,"(5, 12)"
70,10000,436,10000,0,427,10000,"(5, 13)"
71,462,460,10000,0,457,10000,"(5, 14)"
72,414,424,10000,0,417,427,"(5, 18)"
73,423,424,10000,0,414,10000,"(5, 19)"
74,467,469,472,0,460,10000,"(5, 20)"
75,541,552,10000,0,540,553,"(6, 7)"
76,443,443,10000,0,440,10000,"(6, 8)"
77,516,520,10000,0,514,10000,"(6, 10)"
78,620,622,628,0,615,629,"(6, 11)"
79,829,829,10000,0,825,10000,"(6, 12)"
80,616,631,644,0,614,637,"(6, 13)"
81,526,522,10000,0,515,10000,"(6, 14)"
82,512,512,527,0,511,524,"(6, 15)"
83,10000,621,626,0,618,627,"(6, 16)"
84,705,712,712,0,703,712,"(6, 17)"
85,628,632,641,0,624,638,"(6, 18)"
86,10000,844,10000,0,847,10000,"(6, 19)"
87,443,457,10000,0,446,453,"(6, 20)"
88,593,591,595,0,587,602,"(7, 4)"
89,602,606,616,0,594,614,"(7, 5)"
90,600,600,605,0,600,10000,"(7, 7)"
91,10000,10000,10000,0,10000,10000,"(7, 8)"
92,504,496,506,0,496,502,"(7, 9)"
93,523,519,521,0,518,10000,"(7, 11)"
94,452,452,455,0,453,463,"(7, 12)"
95,514,510,10000,0,507,10000,"(7, 14)"
96,10000,10000,10000,0,10000,10000,"(7, 15)"
97,495,489,495,0,487,496,"(7, 16)"
98,516,511,517,0,509,517,"(7, 17)"
99,520,513,519,0,514,519,"(7, 19)"
100,838,835,839,0,835,843,"(7, 20)"
101,831,828,831,0,829,838,"(8, 4)"
102,663,663,665,0,658,663,"(8, 5)"
103,488,484,489,0,485,492,"(8, 6)"
104,578,581,587,0,573,586,"(8, 7)"
105,435,427,465,0,422,460,"(8, 8)"
106,767,762,771,0,755,769,"(8, 9)"
107,532,532,10000,0,534,10000,"(8, 10)"
108,581,569,583,0,569,581,"(8, 11)"
109,587,581,594,0,584,591,"(8, 12)"
110,10000,506,508,0,504,10000,"(8, 13)"
111,491,499,500,0,489,503,"(8, 14)"
112,557,560,560,0,556,559,"(8, 15)"
113,484,483,10000,0,477,491,"(8, 16)"
114,496,495,507,0,487,503,"(8, 17)"
115,533,533,534,0,523,538,"(8, 18)"
116,470,468,472,0,470,477,"(8, 19)"
117,530,526,10000,0,524,537,"(8, 20)"
118,486,10000,10000,0,480,10000,"(9, 4)"
119,746,749,10000,0,739,10000,"(9, 6)"
120,391,409,486,0,385,10000,"(9, 7)"
121,433,426,441,0,419,448,"(9, 9)"
122,358,365,10000,0,343,371,"(9, 10)"
123,410,416,445,0,399,423,"(9, 11)"
124,414,414,4141,0,393,409,"(9, 12)"
125,411,409,444,0,398,415,"(9, 13)"
126,628,664,10000,0,625,387,"(9, 14)"
127,428,456,10000,0,416,456,"(9, 15)"
128,533,543,545,0,516,543,"(9, 16)"
129,513,533,526,0,502,533,"(9, 17)"
130,487,514,504,0,368,514,"(9, 18)"
131,432,10000,455,0,423,451,"(9, 19)"
132,474,506,487,0,451,485,"(9, 20)"
133,455,469,472,0,465,471,"(10, 5)"
134,478,478,490,0,480,488,"(10, 6)"
135,459,502,489,0,468,490,"(10, 7)"
136,449,461,460,0,446,462,"(10, 8)"
137,493,507,507,0,494,505,"(10, 9)"
138,441,461,455,0,451,456,"(10, 10)"
139,499,522,552,0,505,516,"(10, 11)"
140,512,10000,538,0,530,545,"(10, 12)"
141,512,533,527,0,515,527,"(10, 13)"
142,525,520,534,0,518,525,"(10, 14)"
143,509,515,516,0,511,523,"(10, 15)"
144,560,576,573,0,571,577,"(10, 16)"
145,521,537,534,0,536,541,"(10, 17)"
146,532,545,541,0,537,545,"(10, 18)"
147,451,449,455,0,440,452,"(10, 19)"
148,476,490,490,0,488,491,"(10, 20)"
149,440,437,10000,0,427,10000,"(11, 4)"
150,506,513,530,0,506,10000,"(11, 5)"
151,453,462,10000,0,457,10000,"(11, 6)"
152,440,460,10000,0,459,10000,"(11, 7)"
153,634,646,651,0,633,645,"(11, 8)"
154,481,497,10000,0,488,10000,"(11, 9)"
155,416,416,10000,0,408,428,"(11, 10)"
156,494,499,10000,0,489,622,"(11, 11)"
157,379,392,390,0,383,394,"(11, 12)"
158,504,505,10000,0,506,514,"(11, 13)"
159,10000,10000,10000,0,10000,10000,"(11, 14)"
160,537,539,10000,0,529,545,"(11, 15)"
161,431,426,10000,0,427,442,"(11, 16)"
162,404,412,10000,0,402,417,"(11, 17)"
163,426,438,10000,0,429,442,"(11, 18)"
164,404,422,421,0,399,415,"(11, 19)"
165,419,416,10000,0,414,10000,"(11, 20)"
166,445,448,458,0,441,463,"(12, 4)"
167,413,420,437,0,417,437,"(12, 5)"
168,490,504,520,0,499,511,"(12, 6)"
169,558,556,564,0,559,579,"(12, 7)"
170,425,424,429,0,425,10000,"(12, 8)"
171,426,458,10000,0,455,10000,"(12, 9)"
172,423,430,461,0,429,10000,"(12, 10)"
173,484,503,513,0,495,509,"(12, 11)"
174,406,415,10000,0,412,432,"(12, 12)"
175,507,520,533,0,508,527,"(12, 14)"
176,429,431,440,0,434,449,"(12, 15)"
177,435,448,10000,0,443,483,"(12, 16)"
178,505,527,537,0,514,532,"(12, 17)"
179,450,471,470,0,455,472,"(12, 18)"
180,417,439,437,0,427,443,"(12, 19)"
181,479,486,10000,0,473,10000,"(12, 20)"
182,783,783,10000,0,777,804,"(13, 4)"
183,553,559,575,0,559,570,"(13, 5)"
184,630,635,633,0,623,642,"(13, 6)"
185,876,906,899,0,884,898,"(13, 7)"
186,647,643,10000,0,643,658,"(13, 8)"
187,522,534,541,0,532,541,"(13, 9)"
188,574,589,589,0,571,590,"(13, 10)"
189,537,541,552,0,538,543,"(13, 11)"
190,544,540,553,0,534,550,"(13, 12)"
191,516,547,540,0,525,526,"(13, 13)"
192,771,784,10000,0,767,786,"(13, 14)"
193,665,682,689,0,665,688,"(13, 15)"
194,561,579,568,0,551,565,"(13, 16)"
195,619,615,617,0,609,617,"(13, 17)"
196,551,569,575,0,559,572,"(13, 18)"
197,723,751,743,0,728,734,"(13, 19)"
198,10000,10000,10000,0,10000,10000,"(13, 20)"
199,574,10000,10000,0,577,612,"(14, 4)"
200,10000,606,10000,0,585,599,"(14, 5)"
201,925,925,949,0,924,10000,"(14, 6)"
202,611,10000,10000,0,613,10000,"(14, 7)"
203,658,10000,10000,0,660,10000,"(14, 8)"
204,672,685,10000,0,672,683,"(14, 9)"
205,663,704,10000,0,672,690,"(14, 10)"
206,616,627,10000,0,580,619,"(14, 11)"
207,717,718,10000,0,708,720,"(14, 12)"
208,713,704,10000,0,667,723,"(14, 13)"
209,598,630,10000,0,599,623,"(14, 14)"
210,888,901,10000,0,895,1005,"(14, 15)"
211,750,10000,10000,0,736,10000,"(14, 16)"
212,794,10000,10000,0,782,10000,"(14, 17)"
213,668,10000,10000,0,649,10000,"(14, 18)"
214,707,751,10000,0,719,10000,"(14, 19)"
215,752,788,10000,0,754,778,"(14, 20)"
216,685,678,697,0,665,10000,"(15, 4)"
217,464,922,10000,0,890,10000,"(15, 5)"
218,842,864,876,0,901,10000,"(15, 6)"
219,607,605,610,0,602,622,"(15, 7)"
220,456,471,472,0,463,472,"(15, 8)"
221,525,529,533,0,518,533,"(15, 9)"
222,512,532,542,0,520,537,"(15, 10)"
223,462,476,483,0,468,479,"(15, 11)"
224,509,531,539,0,519,531,"(15, 12)"
225,462,10000,482,0,466,484,"(15, 13)"
226,489,10000,503,0,487,499,"(15, 14)"
227,10000,10000,10000,0,10000,10000,"(15, 15)"
228,487,498,10000,0,484,10000,"(15, 16)"
229,482,497,509,0,500,501,"(15, 17)"
230,574,590,613,0,588,607,"(15, 18)"
231,547,555,10000,0,528,558,"(15, 19)"
232,565,582,10000,0,564,10000,"(15, 20)"
